recipe_id,branch_id,type,sort_order,stage_from,stage_to,input_stone_id,input_stone_name,input_item_id,input_item_name,output_stone_id,output_stone_name,story,review_title,review_url
recipe_entertainment_microphone_s1_s2,branch_lightning_talk,4,37,1,2,basic_orange,娛樂型小石,item_microphone,麥克風,stone_microphone,麥克風小石,牠站上舞台時還有點發抖，但第一句話說出口後，燈光就沒有那麼刺眼了。分享不一定完美，但會讓想法開始流動。,Lightning Talk 議程,https://sitcon.org/2024/agenda/0e35dc/
recipe_entertainment_lightning_talk_s2_s3,branch_lightning_talk,4,38,2,3,stone_microphone,麥克風小石,item_lightning_talk_script,閃電講稿,stone_lightning_talk,Lightning Talk 小石,牠把一個很大的故事壓進短短幾分鐘，留下最亮的那一段。時間一到，掌聲提醒牠勇氣也可以很精簡。,Lightning Talk 議程,https://sitcon.org/2024/agenda/0e35dc/
recipe_entertainment_p5js_s1_s2,branch_p5js_tech_art,4,39,1,2,basic_orange,娛樂型小石,item_canvas_code,畫布程式碼,stone_p5js,p5.js 小石,牠把程式寫成會動的圖案，第一次發現錯誤訊息也可能通往作品。螢幕亮起來時，技術忽然變得很像舞台。,p5.js 議程,https://sitcon.org/2024/agenda/f01c4f/
recipe_entertainment_tech_art_s2_s3,branch_p5js_tech_art,4,40,2,3,stone_p5js,p5.js 小石,item_pixel_paint,像素顏料,stone_tech_art,科技藝術小石,牠把座標、顏色和互動揉在一起，做出一個會回應人的小世界。原來創作也可以是理解技術的一種方式。,p5.js 議程,https://sitcon.org/2024/agenda/f01c4f/
recipe_entertainment_espresso_s1_s2,branch_espresso_ten_minutes,4,41,1,2,basic_orange,娛樂型小石,item_espresso_cup,Espresso 杯,stone_espresso,Espresso 小石,牠把想講的內容濃縮成一小杯，苦一點但很醒腦。短短十分鐘，也能讓人帶走一個新問題。,SITCON 2024 CFP,https://sitcon.org/2024/cfp/normal/
recipe_entertainment_2024_ribbon_s1_s2,branch_2024_polaroid_night,4,42,1,2,basic_orange,娛樂型小石,item_ribbon,彩帶,stone_2024_ribbon,2024 彩帶小石,牠把活動現場的笑聲、掌聲和混亂都捲進彩帶裡。每次彩帶散開，基地就多一點營隊的聲音。,SITCON 2024,https://sitcon.org/2024/
recipe_entertainment_2024_polaroid_s2_s3,branch_2024_polaroid_night,4,43,2,3,stone_2024_ribbon,2024 彩帶小石,item_polaroid_film,拍立得底片,stone_2024_last_night_polaroid,2024 最後一晚拍立得小石,把最後一晚的合照收進小小底片，連沒有說出口的感謝也一起留下。,SITCON 2024,https://sitcon.org/2024/
recipe_event_python_turtle,event_special,1,46,0,0,,,,,stone_python_turtle,烏龜小石,牠慢慢走，慢慢畫，把每一次轉彎都留成可以回看的線。答案不一定要最快出現，有時候一步一步畫出來，反而更清楚。,Python Turtle 特殊活動,
recipe_event_fireside,event_fireside,2,47,0,0,,,,,stone_fireside,爐邊小石,牠總是在夜談時靠近火光，安靜聽完每個人的故事。有人願意開口時，牠身上的光就會亮一點。,爐邊夜談活躍獎勵,
recipe_event_command_blind_trip,event_checkpoint,3,48,0,0,,,,,stone_command_blind_trip,指令盲旅小石,牠戴上眼罩後不急著往前衝，而是等待隊友把混亂變成一套清楚的指令。每一次成功抵達，都是大家共同定義出來的路。,闖關活動：指令盲旅,
recipe_event_human_llm,event_checkpoint,1,49,0,0,,,,,stone_human_llm,人類大語言模型小石,小石在資料矩陣裡逐字甦醒，用 self-attention 接住前文、KV cache 保存線索；直到句子完成，牠好像也不知道自己在說什麼⋯⋯??,闖關活動：人類大語言模型,
recipe_event_von_neumann,event_checkpoint,3,50,0,0,,,,,stone_von_neumann,馮紐曼小石,牠把輸入、記憶、計算和輸出分成不同位置，再把散落的偏旁重新組回答案。看似混亂的流程，其實有一套安靜運轉的架構。,闖關活動：馮紐曼架構,
recipe_event_packet_rescue,event_checkpoint,3,51,0,0,,,,,stone_packet_rescue,封包救援小石,牠在錯亂與遺失的訊息之間奔跑，把破碎的封包一段一段撿回來。只要隊友還願意重傳，答案就不會真的消失。,闖關活動：封包掉包,
recipe_event_prompt_injection,event_checkpoint,1,52,0,0,,,,,stone_prompt_injection,Prompt Injection 小石,牠最擅長從看似正常的句子裡找到奇怪的入口。面對被偷走方向的提示詞，牠會先停下來問一句：這真的是我們要回答的問題嗎？,闖關活動：Prompt Injection,
